Column_1	Column_2	Column_3
Anne.Hansen@testgdpr.no	010150-12345	Fengsel
Inger.Johansen@testgdpr.no	010150-12346	Fengsel
Marit.Olsen@testgdpr.no	010150-12347	Fengsel
Ingrid.Larsen@testgdpr.no	010150-12348	Fengsel
Kari.Andersen@testgdpr.no	010150-12349	Fengsel
Maria.Pedersen@testgdpr.no	010150-12350	Fengsel
Ida.Nilsen@testgdpr.no	010150-12351	Fengsel
Liv.Kristiansen@testgdpr.no	010150-12352	Fengsel
Hilde.Jensen@testgdpr.no	010150-12353	Fengsel
Nina.Karlsen@testgdpr.no	010150-12354	Fengsel
Marianne.Hansen@testgdpr.no	010150-12355	Fengsel
Kristin.Johansen@testgdpr.no	010150-12356	Fengsel
Elisabeth.Olsen@testgdpr.no	010150-12357	Fengsel
Bente.Larsen@testgdpr.no	010150-12358	Fengsel
Eva.Andersen@testgdpr.no	010150-12359	Fengsel
Anna.Pedersen@testgdpr.no	010150-12360	Fengsel
Heidi.Nilsen@testgdpr.no	010150-12361	Fengsel
Silje.Kristiansen@testgdpr.no	010150-12362	Fengsel
Hanne.Jensen@testgdpr.no	010150-12363	Fengsel
Linda.Karlsen@testgdpr.no	010150-12364	Hvitvasking 
Tone.Hansen@testgdpr.no	010150-12365	Hvitvasking 
Anita.Johansen@testgdpr.no	010150-12366	Hvitvasking 
Elin.Olsen@testgdpr.no	010150-12367	Hvitvasking 
Camilla.Larsen@testgdpr.no	010150-12368	Hvitvasking 
Tove.Andersen@testgdpr.no	010150-12369	Hvitvasking 
Wenche.Pedersen@testgdpr.no	010150-12370	Hvitvasking 
Berit.Nilsen@testgdpr.no	010150-12371	Hvitvasking 
Hege.Kristiansen@testgdpr.no	010150-12372	Hvitvasking 
Randi.Jensen@testgdpr.no	010150-12373	Hvitvasking 
Julie.Karlsen@testgdpr.no	010150-12374	Hvitvasking 
Ann.Hansen@testgdpr.no	010150-12375	Hvitvasking 
Mona.Johansen@testgdpr.no	010150-12376	Hvitvasking 
Astrid.Olsen@testgdpr.no	010150-12377	Hvitvasking 
Monica.Larsen@testgdpr.no	010150-12378	Hvitvasking 
Solveig.Andersen@testgdpr.no	010150-12379	Hvitvasking 
Ellen.Pedersen@testgdpr.no	010150-12380	Hvitvasking 
Emma.Nilsen@testgdpr.no	010150-12381	Hvitvasking 
Marie.Kristiansen@testgdpr.no	010150-12382	Skatteunndragelse
Stine.Jensen@testgdpr.no	010150-12383	Skatteunndragelse
Kristine.Karlsen@testgdpr.no	010150-12384	Skatteunndragelse
Helene.Hansen@testgdpr.no	010150-12385	Skatteunndragelse
Mari.Johansen@testgdpr.no	010150-12386	Skatteunndragelse
Thea.Olsen@testgdpr.no	010150-12387	Skatteunndragelse
Nora.Larsen@testgdpr.no	010150-12388	Skatteunndragelse
Line.Andersen@testgdpr.no	010150-12389	Skatteunndragelse
Sara.Pedersen@testgdpr.no	010150-12390	Skatteunndragelse
Emilie.Nilsen@testgdpr.no	010150-12391	Skatteunndragelse
Sissel.Kristiansen@testgdpr.no	010150-12392	Skatteunndragelse
Lene.Jensen@testgdpr.no	010150-12393	Skatteunndragelse
Malin.Karlsen@testgdpr.no	010150-12394	Skatteunndragelse
Bjørg.Hansen@testgdpr.no	010150-12395	Skatteunndragelse
Jan.Johansen@testgdpr.no	010150-12396	Skatteunndragelse
Bjørn.Olsen@testgdpr.no	010150-12397	Skatteunndragelse
Per.Larsen@testgdpr.no	010150-12398	Skatteunndragelse
Ole.Andersen@testgdpr.no	010150-12399	Skatteunndragelse
Lars.Pedersen@testgdpr.no	010150-12400	Skatteunndragelse
Thomas.Nilsen@testgdpr.no	010150-12401	Skatteunndragelse
Geir.Kristiansen@testgdpr.no	010150-12402	Skatteunndragelse
Svein.Jensen@testgdpr.no	010150-12403	Skatteunndragelse
Kjell.Karlsen@testgdpr.no	010150-12404	Skatteunndragelse
Morten.Hansen@testgdpr.no	010150-12405	Skatteunndragelse
Knut.Johansen@testgdpr.no	010150-12406	Skatteunndragelse
Martin.Olsen@testgdpr.no	010150-12407	Skatteunndragelse
Terje.Larsen@testgdpr.no	010150-12408	Skatteunndragelse
Andreas.Andersen@testgdpr.no	010150-12409	Skatteunndragelse
Tor.Pedersen@testgdpr.no	010150-12410	Skatteunndragelse
Erik.Nilsen@testgdpr.no	010150-12411	Skatteunndragelse
Rune.Kristiansen@testgdpr.no	010150-12412	Skatteunndragelse
Hans.Jensen@testgdpr.no	010150-12413	Skatteunndragelse
Anders.Karlsen@testgdpr.no	010150-12414	Svindel
Arne.Hansen@testgdpr.no	010150-12415	Svindel
Daniel.Johansen@testgdpr.no	010150-12416	Svindel
Trond.Olsen@testgdpr.no	010150-12417	Svindel
John.Larsen@testgdpr.no	010150-12418	Svindel
Marius.Andersen@testgdpr.no	010150-12419	Svindel
Odd.Pedersen@testgdpr.no	010150-12420	Svindel
Magnus.Nilsen@testgdpr.no	010150-12421	Svindel
Tom.Kristiansen@testgdpr.no	010150-12422	Svindel
Kristian.Jensen@testgdpr.no	010150-12423	Svindel
Stian.Karlsen@testgdpr.no	010150-12424	Svindel
Henrik.Hansen@testgdpr.no	010150-12425	Svindel
Tore.Johansen@testgdpr.no	010150-12426	Svindel
Jon.Olsen@testgdpr.no	010150-12427	Svindel
Jonas.Larsen@testgdpr.no	010150-12428	Svindel
Espen.Andersen@testgdpr.no	010150-12429	Kriminell
Fredrik.Pedersen@testgdpr.no	010150-12430	Kriminell
Christian.Nilsen@testgdpr.no	010150-12431	Kriminell
Øyvind.Kristiansen@testgdpr.no	010150-12432	Kriminell
Eirik.Jensen@testgdpr.no	010150-12433	Kriminell
Olav.Karlsen@testgdpr.no	010150-12434	Kriminell
Håkon.Hansen@testgdpr.no	010150-12435	Kriminell
Harald.Johansen@testgdpr.no	010150-12436	Kriminell
Alexander.Olsen@testgdpr.no	010150-12437	Kriminell
Nils.Larsen@testgdpr.no	010150-12438	Kriminell
Frode.Andersen@testgdpr.no	010150-12439	Kriminell
Mathias.Pedersen@testgdpr.no	010150-12440	Kriminell
Helge.Nilsen@testgdpr.no	010150-12441	Kriminell
